time_s	force_N	net_thrust_N
0.621875	-0.915062	-0.995659
0.625000	0.229374	0.148777
0.628125	0.229374	0.148777
0.631250	-0.152105	-0.232702
0.634375	0.229374	0.148777
0.637500	-0.152105	-0.232702
0.640625	-0.533584	-0.614181
0.643750	0.229374	0.148777
0.646875	-0.152105	-0.232702
0.650000	-0.915062	-0.995659
0.653125	0.610853	0.530255
0.656250	-0.533584	-0.614181
0.659375	0.610853	0.530255
0.662500	0.992331	0.911734
0.665625	0.992331	0.911734
0.668750	-0.152105	-0.232702
0.671875	-0.915062	-0.995659
0.675000	-0.152105	-0.232702
0.678125	-0.152105	-0.232702
0.681250	-0.152105	-0.232702
0.684375	0.229374	0.148777
0.687500	0.610853	0.530255
0.690625	-0.533584	-0.614181
0.693750	0.992331	0.911734
0.696875	0.992331	0.911734
0.700000	0.229374	0.148777
0.703125	0.229374	0.148777
0.706250	0.229374	0.148777
0.709375	0.610853	0.530255
0.712500	-0.533584	-0.614181
0.715625	-0.533584	-0.614181
0.718750	-0.152105	-0.232702
0.721875	0.229374	0.148777
0.725000	0.229374	0.148777
0.728125	0.610853	0.530255
0.731250	-0.533584	-0.614181
0.734375	0.610853	0.530255
0.737500	-0.152105	-0.232702
0.740625	-0.915062	-0.995659
0.743750	-0.915062	-0.995659
0.746875	-1.296541	-1.377138
0.750000	0.229374	0.148777
0.753125	0.610853	0.530255
0.756250	0.610853	0.530255
0.759375	-0.152105	-0.232702
0.762500	0.229374	0.148777
0.765625	0.610853	0.530255
0.768750	-0.533584	-0.614181
0.771875	0.229374	0.148777
0.775000	0.610853	0.530255
0.778125	0.229374	0.148777
0.781250	0.229374	0.148777
0.784375	-0.152105	-0.232702
0.787500	-0.152105	-0.232702
0.790625	-0.533584	-0.614181
0.793750	0.229374	0.148777
0.796875	0.610853	0.530255
0.800000	0.610853	0.530255
0.803125	0.610853	0.530255
0.806250	-0.152105	-0.232702
0.809375	0.992331	0.911734
0.812500	-0.533584	-0.614181
0.815625	0.610853	0.530255
0.818750	0.229374	0.148777
0.821875	0.229374	0.148777
0.825000	-0.152105	-0.232702
0.828125	-0.152105	-0.232702
0.831250	0.229374	0.148777
0.834375	0.610853	0.530255
0.837500	0.610853	0.530255
0.840625	-0.533584	-0.614181
0.843750	0.610853	0.530255
0.846875	-0.533584	-0.614181
0.850000	-0.152105	-0.232702
0.853125	-0.533584	-0.614181
0.856250	0.610853	0.530255
0.859375	-0.152105	-0.232702
0.862500	-0.533584	-0.614181
0.865625	-0.533584	-0.614181
0.868750	-0.915062	-0.995659
0.871875	-0.152105	-0.232702
0.875000	0.610853	0.530255
0.878125	-0.533584	-0.614181
0.881250	0.610853	0.530255
0.884375	-0.152105	-0.232702
0.887500	-0.152105	-0.232702
0.890625	-0.152105	-0.232702
0.893750	0.610853	0.530255
0.896875	-0.152105	-0.232702
0.900000	-0.152105	-0.232702
0.903125	0.229374	0.148777
0.906250	-0.152105	-0.232702
0.909375	-0.152105	-0.232702
0.912500	-0.152105	-0.232702
0.915625	-0.152105	-0.232702
0.918750	0.229374	0.148777
0.921875	-0.533584	-0.614181
0.925000	0.229374	0.148777
0.928125	-0.152105	-0.232702
0.931250	0.229374	0.148777
0.934375	-0.915062	-0.995659
0.937500	-0.152105	-0.232702
0.940625	0.229374	0.148777
0.943750	0.229374	0.148777
0.946875	-0.152105	-0.232702
0.950000	0.610853	0.530255
0.953125	-0.152105	-0.232702
0.956250	0.229374	0.148777
0.959375	-0.533584	-0.614181
0.962500	0.229374	0.148777
0.965625	0.229374	0.148777
0.968750	-0.152105	-0.232702
0.971875	-0.533584	-0.614181
0.975000	0.610853	0.530255
0.978125	-0.152105	-0.232702
0.981250	-0.152105	-0.232702
0.984375	-0.533584	-0.614181
0.987500	-1.678020	-1.758617
0.990625	-0.533584	-0.614181
0.993750	-0.915062	-0.995659
0.996875	1.373810	1.293213
1.000000	0.229374	0.148777
1.003125	-0.533584	-0.614181
1.006250	-0.533584	-0.614181
1.009375	1.373810	1.293213
1.012500	0.229374	0.148777
1.015625	-0.533584	-0.614181
1.018750	-0.152105	-0.232702
1.021875	-0.152105	-0.232702
1.025000	0.610853	0.530255
1.028125	0.992331	0.911734
1.031250	0.610853	0.530255
1.034375	-0.152105	-0.232702
1.037500	0.229374	0.148777
1.040625	0.229374	0.148777
1.043750	0.992331	0.911734
1.046875	-0.533584	-0.614181
1.050000	-0.152105	-0.232702
1.053125	0.229374	0.148777
1.056250	0.229374	0.148777
1.059375	0.229374	0.148777
1.062500	-0.533584	-0.614181
1.065625	0.229374	0.148777
1.068750	-0.152105	-0.232702
1.071875	-0.533584	-0.614181
1.075000	0.610853	0.530255
1.078125	0.229374	0.148777
1.081250	-1.296541	-1.377138
1.084375	-0.152105	-0.232702
1.087500	-0.152105	-0.232702
1.090625	0.229374	0.148777
1.093750	0.610853	0.530255
1.096875	0.229374	0.148777
1.100000	-0.533584	-0.614181
1.103125	-0.915062	-0.995659
1.106250	-0.915062	-0.995659
1.109375	-0.915062	-0.995659
1.112500	-0.915062	-0.995659
1.115625	-0.915062	-0.995659
1.118750	0.610853	0.530255
1.121875	-0.152105	-0.232702
1.125000	-0.152105	-0.232702
1.128125	-0.152105	-0.232702
1.131250	-0.533584	-0.614181
1.134375	-0.533584	-0.614181
1.137500	-0.915062	-0.995659
1.140625	-0.533584	-0.614181
1.143750	0.610853	0.530255
1.146875	-0.152105	-0.232702
1.150000	-0.533584	-0.614181
1.153125	0.229374	0.148777
1.156250	-0.152105	-0.232702
1.159375	-0.152105	-0.232702
1.162500	-0.533584	-0.614181
1.165625	0.229374	0.148777
1.168750	-0.152105	-0.232702
1.171875	-0.533584	-0.614181
1.175000	-0.533584	-0.614181
1.178125	1.373810	1.293213
1.181250	0.229374	0.148777
1.184375	0.229374	0.148777
1.187500	-0.152105	-0.232702
1.190625	0.229374	0.148777
1.193750	0.229374	0.148777
1.196875	-0.533584	-0.614181
1.200000	-0.533584	-0.614181
1.203125	0.610853	0.530255
1.206250	0.229374	0.148777
1.209375	-0.533584	-0.614181
1.212500	0.229374	0.148777
1.215625	-0.152105	-0.232702
1.218750	0.229374	0.148777
1.221875	0.610853	0.530255
1.225000	-0.152105	-0.232702
1.228125	0.229374	0.148777
1.231250	-1.296541	-1.377138
1.234375	-0.533584	-0.614181
1.237500	-0.533584	-0.614181
1.240625	0.229374	0.148777
1.243750	0.610853	0.530255
1.246875	0.610853	0.530255
1.250000	-0.915062	-0.995659
1.253125	-0.152105	-0.232702
1.256250	-0.152105	-0.232702
1.259375	-0.533584	-0.614181
1.262500	0.610853	0.530255
1.265625	-0.152105	-0.232702
1.268750	0.229374	0.148777
1.271875	0.229374	0.148777
1.275000	0.229374	0.148777
1.278125	-0.152105	-0.232702
1.281250	-0.915062	-0.995659
1.284375	0.610853	0.530255
1.287500	0.610853	0.530255
1.290625	0.610853	0.530255
1.293750	0.610853	0.530255
1.296875	-0.533584	-0.614181
1.300000	0.610853	0.530255
1.303125	-0.533584	-0.614181
1.306250	0.992331	0.911734
1.309375	-0.533584	-0.614181
1.312500	-0.915062	-0.995659
1.315625	-0.533584	-0.614181
1.318750	-0.533584	-0.614181
1.321875	0.610853	0.530255
1.325000	0.610853	0.530255
1.328125	-0.915062	-0.995659
1.331250	-0.915062	-0.995659
1.334375	-0.152105	-0.232702
1.337500	0.229374	0.148777
1.340625	0.229374	0.148777
1.343750	0.229374	0.148777
1.346875	-0.152105	-0.232702
1.350000	0.229374	0.148777
1.353125	0.610853	0.530255
1.356250	-1.296541	-1.377138
1.359375	-0.152105	-0.232702
1.362500	-0.915062	-0.995659
1.365625	-0.152105	-0.232702
1.368750	-0.152105	-0.232702
1.371875	0.229374	0.148777
1.375000	0.229374	0.148777
1.378125	-0.152105	-0.232702
1.381250	-0.152105	-0.232702
1.384375	-0.152105	-0.232702
1.387500	0.229374	0.148777
1.390625	-0.152105	-0.232702
1.393750	-0.152105	-0.232702
1.396875	0.229374	0.148777
1.400000	0.229374	0.148777
1.403125	-0.152105	-0.232702
1.406250	-0.152105	-0.232702
1.409375	-0.533584	-0.614181
1.412500	0.229374	0.148777
1.415625	-0.533584	-0.614181
1.418750	-0.533584	-0.614181
1.421875	0.229374	0.148777
1.425000	-0.152105	-0.232702
1.428125	-0.533584	-0.614181
1.431250	0.229374	0.148777
1.434375	-0.152105	-0.232702
1.437500	0.992331	0.911734
1.440625	-0.915062	-0.995659
1.443750	0.229374	0.148777
1.446875	-0.533584	-0.614181
1.450000	-0.152105	-0.232702
1.453125	-0.533584	-0.614181
1.456250	-0.533584	-0.614181
1.459375	0.610853	0.530255
1.462500	-0.533584	-0.614181
1.465625	-0.152105	-0.232702
1.468750	0.610853	0.530255
1.471875	-0.533584	-0.614181
1.475000	-0.152105	-0.232702
1.478125	-1.296541	-1.377138
1.481250	-1.296541	-1.377138
1.484375	-0.533584	-0.614181
1.487500	0.229374	0.148777
1.490625	0.229374	0.148777
1.493750	-0.152105	-0.232702
1.496875	0.229374	0.148777
1.500000	-0.152105	-0.232702
1.503125	0.229374	0.148777
1.506250	-0.533584	-0.614181
1.509375	0.229374	0.148777
1.512500	-0.152105	-0.232702
1.515625	-0.152105	-0.232702
1.518750	0.610853	0.530255
1.521875	-0.152105	-0.232702
1.525000	0.229374	0.148777
1.528125	-0.152105	-0.232702
1.531250	0.229374	0.148777
1.534375	0.229374	0.148777
1.537500	-0.533584	-0.614181
1.540625	-0.915062	-0.995659
1.543750	-0.533584	-0.614181
1.546875	-0.533584	-0.614181
1.550000	-0.152105	-0.232702
1.553125	-0.915062	-0.995659
1.556250	-0.152105	-0.232702
1.559375	0.229374	0.148777
1.562500	-0.533584	-0.614181
1.565625	-0.533584	-0.614181
1.568750	0.229374	0.148777
1.571875	0.229374	0.148777
1.575000	-0.152105	-0.232702
1.578125	0.610853	0.530255
1.581250	-0.152105	-0.232702
1.584375	0.610853	0.530255
1.587500	0.229374	0.148777
1.590625	-0.533584	-0.614181
1.593750	0.229374	0.148777
1.596875	0.610853	0.530255
1.600000	-0.152105	-0.232702
1.603125	-0.915062	-0.995659
1.606250	-1.296541	-1.377138
1.609375	-0.533584	-0.614181
1.612500	-0.915062	-0.995659
1.615625	-0.152105	-0.232702
1.618750	-0.533584	-0.614181
1.621875	-0.915062	-0.995659
1.625000	0.992331	0.911734
1.628125	-0.152105	-0.232702
1.631250	0.229374	0.148777
1.634375	-0.152105	-0.232702
1.637500	-0.152105	-0.232702
1.640625	0.229374	0.148777
1.643750	0.229374	0.148777
1.646875	-0.152105	-0.232702
1.650000	-0.152105	-0.232702
1.653125	-0.152105	-0.232702
1.656250	-0.533584	-0.614181
1.659375	-0.152105	-0.232702
1.662500	-0.152105	-0.232702
1.665625	-0.533584	-0.614181
1.668750	-0.152105	-0.232702
1.671875	-0.152105	-0.232702
1.675000	-0.152105	-0.232702
1.678125	-0.533584	-0.614181
1.681250	-0.152105	-0.232702
1.684375	-0.915062	-0.995659
1.687500	0.229374	0.148777
1.690625	0.229374	0.148777
1.693750	-0.152105	-0.232702
1.696875	0.229374	0.148777
1.700000	-0.533584	-0.614181
1.703125	-0.915062	-0.995659
1.706250	-0.915062	-0.995659
1.709375	-0.152105	-0.232702
1.712500	0.610853	0.530255
1.715625	-0.152105	-0.232702
1.718750	-0.915062	-0.995659
1.721875	-0.152105	-0.232702
1.725000	-1.296541	-1.377138
1.728125	-1.296541	-1.377138
1.731250	-0.915062	-0.995659
1.734375	0.229374	0.148777
1.737500	0.229374	0.148777
1.740625	-0.152105	-0.232702
1.743750	-0.533584	-0.614181
1.746875	-0.152105	-0.232702
1.750000	0.229374	0.148777
1.753125	-0.152105	-0.232702
1.756250	1.373810	1.293213
1.759375	0.229374	0.148777
1.762500	-0.152105	-0.232702
1.765625	-0.152105	-0.232702
1.768750	-0.533584	-0.614181
1.771875	0.229374	0.148777
1.775000	-0.915062	-0.995659
1.778125	0.229374	0.148777
1.781250	0.229374	0.148777
1.784375	-0.915062	-0.995659
1.787500	-0.533584	-0.614181
1.790625	-0.152105	-0.232702
1.793750	-0.152105	-0.232702
1.796875	-0.152105	-0.232702
1.800000	-0.152105	-0.232702
1.803125	-0.533584	-0.614181
1.806250	0.229374	0.148777
1.809375	-0.152105	-0.232702
1.812500	0.610853	0.530255
1.815625	-0.533584	-0.614181
1.818750	-0.533584	-0.614181
1.821875	0.229374	0.148777
1.825000	-0.915062	-0.995659
1.828125	-0.533584	-0.614181
1.831250	-0.152105	-0.232702
1.834375	0.610853	0.530255
1.837500	-0.152105	-0.232702
1.840625	-0.152105	-0.232702
1.843750	-0.533584	-0.614181
1.846875	-0.533584	-0.614181
1.850000	-0.533584	-0.614181
1.853125	-1.678020	-1.758617
1.856250	0.610853	0.530255
1.859375	-0.533584	-0.614181
1.862500	-0.152105	-0.232702
1.865625	0.229374	0.148777
1.868750	-0.533584	-0.614181
1.871875	0.229374	0.148777
1.875000	0.229374	0.148777
1.878125	0.610853	0.530255
1.881250	-0.533584	-0.614181
1.884375	0.992331	0.911734
1.887500	-0.915062	-0.995659
1.890625	0.229374	0.148777
1.893750	-0.533584	-0.614181
1.896875	-0.915062	-0.995659
1.900000	-0.915062	-0.995659
1.903125	0.229374	0.148777
1.906250	-0.152105	-0.232702
1.909375	-0.152105	-0.232702
1.912500	-0.533584	-0.614181
1.915625	-0.152105	-0.232702
1.918750	0.229374	0.148777
1.921875	-0.533584	-0.614181
1.925000	0.229374	0.148777
1.928125	-0.533584	-0.614181
1.931250	-0.152105	-0.232702
1.934375	0.229374	0.148777
1.937500	-0.533584	-0.614181
1.940625	0.229374	0.148777
1.943750	0.229374	0.148777
1.946875	0.229374	0.148777
1.950000	-0.915062	-0.995659
1.953125	-0.533584	-0.614181
1.956250	-0.533584	-0.614181
1.959375	0.229374	0.148777
1.962500	-0.152105	-0.232702
1.965625	0.229374	0.148777
1.968750	0.229374	0.148777
1.971875	-1.678020	-1.758617
1.975000	-0.152105	-0.232702
1.978125	-1.296541	-1.377138
1.981250	-0.152105	-0.232702
1.984375	-0.915062	-0.995659
1.987500	-0.152105	-0.232702
1.990625	0.229374	0.148777
1.993750	0.229374	0.148777
1.996875	-0.152105	-0.232702
2.000000	-0.152105	-0.232702
2.003125	-0.152105	-0.232702
2.006250	-0.533584	-0.614181
2.009375	0.229374	0.148777
2.012500	0.229374	0.148777
2.015625	-0.533584	-0.614181
2.018750	-0.152105	-0.232702
2.021875	-0.152105	-0.232702
2.025000	-0.152105	-0.232702
2.028125	-0.152105	-0.232702
2.031250	-0.152105	-0.232702
2.034375	-0.152105	-0.232702
2.037500	-0.533584	-0.614181
2.040625	0.229374	0.148777
2.043750	-0.152105	-0.232702
2.046875	0.229374	0.148777
2.050000	-0.152105	-0.232702
2.053125	0.229374	0.148777
2.056250	0.229374	0.148777
2.059375	-0.533584	-0.614181
2.062500	-0.152105	-0.232702
2.065625	-0.533584	-0.614181
2.068750	-0.152105	-0.232702
2.071875	0.229374	0.148777
2.075000	0.229374	0.148777
2.078125	0.610853	0.530255
2.081250	-0.152105	-0.232702
2.084375	-0.533584	-0.614181
2.087500	-0.152105	-0.232702
2.090625	-0.152105	-0.232702
2.093750	-0.915062	-0.995659
2.096875	-1.296541	-1.377138
2.100000	-1.296541	-1.377138
2.103125	-0.152105	-0.232702
2.106250	0.229374	0.148777
2.109375	-0.915062	-0.995659
2.112500	-0.152105	-0.232702
2.115625	-0.533584	-0.614181
2.118750	-0.533584	-0.614181
2.121875	0.229374	0.148777
2.125000	-0.152105	-0.232702
2.128125	-0.533584	-0.614181
2.131250	0.610853	0.530255
2.134375	-0.152105	-0.232702
2.137500	0.229374	0.148777
2.140625	-0.152105	-0.232702
2.143750	-0.152105	-0.232702
2.146875	-0.152105	-0.232702
2.150000	-0.152105	-0.232702
2.153125	0.229374	0.148777
2.156250	-0.533584	-0.614181
2.159375	-0.915062	-0.995659
2.162500	-0.915062	-0.995659
2.165625	-0.533584	-0.614181
2.168750	-0.152105	-0.232702
2.171875	-0.533584	-0.614181
2.175000	-0.915062	-0.995659
2.178125	-0.533584	-0.614181
2.181250	-0.152105	-0.232702
2.184375	-0.152105	-0.232702
2.187500	0.229374	0.148777
2.190625	-0.152105	-0.232702
2.193750	-0.152105	-0.232702
2.196875	-0.152105	-0.232702
2.200000	-0.152105	-0.232702
2.203125	-0.533584	-0.614181
2.206250	-0.152105	-0.232702
2.209375	-0.533584	-0.614181
2.212500	0.229374	0.148777
2.215625	-1.296541	-1.377138
2.218750	-1.296541	-1.377138
2.221875	-0.915062	-0.995659
2.225000	-0.152105	-0.232702
2.228125	0.229374	0.148777
2.231250	-0.152105	-0.232702
2.234375	-0.152105	-0.232702
2.237500	-0.533584	-0.614181
2.240625	-0.152105	-0.232702
2.243750	-0.533584	-0.614181
2.246875	0.229374	0.148777
2.250000	0.229374	0.148777
2.253125	0.229374	0.148777
2.256250	-0.152105	-0.232702
2.259375	-0.152105	-0.232702
2.262500	-0.152105	-0.232702
2.265625	-0.152105	-0.232702
2.268750	-0.152105	-0.232702
2.271875	-0.152105	-0.232702
2.275000	-0.152105	-0.232702
2.278125	-0.152105	-0.232702
2.281250	0.229374	0.148777
2.284375	0.229374	0.148777
2.287500	0.610853	0.530255
2.290625	-0.533584	-0.614181
2.293750	0.610853	0.530255
2.296875	-0.533584	-0.614181
2.300000	-0.915062	-0.995659
2.303125	-0.533584	-0.614181
2.306250	-0.533584	-0.614181
2.309375	-0.533584	-0.614181
2.312500	-0.152105	-0.232702
2.315625	0.229374	0.148777
2.318750	0.229374	0.148777
2.321875	-0.152105	-0.232702
2.325000	-0.152105	-0.232702
2.328125	0.229374	0.148777
2.331250	-0.533584	-0.614181
2.334375	-0.533584	-0.614181
2.337500	-0.533584	-0.614181
2.340625	-1.296541	-1.377138
2.343750	-1.296541	-1.377138
2.346875	-0.533584	-0.614181
2.350000	-0.152105	-0.232702
2.353125	-0.152105	-0.232702
2.356250	0.992331	0.911734
2.359375	0.610853	0.530255
2.362500	-0.152105	-0.232702
2.365625	0.229374	0.148777
2.368750	-0.152105	-0.232702
2.371875	0.610853	0.530255
2.375000	0.229374	0.148777
2.378125	-0.152105	-0.232702
2.381250	0.229374	0.148777
2.384375	-0.152105	-0.232702
2.387500	-0.152105	-0.232702
2.390625	-0.915062	-0.995659
2.393750	-0.152105	-0.232702
2.396875	0.229374	0.148777
2.400000	-0.152105	-0.232702
2.403125	-0.152105	-0.232702
2.406250	-0.152105	-0.232702
2.409375	-0.533584	-0.614181
2.412500	-0.533584	-0.614181
2.415625	0.610853	0.530255
2.418750	-0.152105	-0.232702
2.421875	-0.152105	-0.232702
2.425000	-0.533584	-0.614181
2.428125	0.992331	0.911734
2.431250	0.229374	0.148777
2.434375	-0.152105	-0.232702
2.437500	0.229374	0.148777
2.440625	0.229374	0.148777
2.443750	-0.915062	-0.995659
2.446875	-0.533584	-0.614181
2.450000	0.229374	0.148777
2.453125	-0.533584	-0.614181
2.456250	-0.152105	-0.232702
2.459375	-0.533584	-0.614181
2.462500	-1.296541	-1.377138
2.465625	-1.296541	-1.377138
2.468750	-1.296541	-1.377138
2.471875	0.229374	0.148777
2.475000	0.229374	0.148777
2.478125	-0.533584	-0.614181
2.481250	-0.533584	-0.614181
2.484375	0.229374	0.148777
2.487500	-0.152105	-0.232702
2.490625	-0.152105	-0.232702
2.493750	-0.533584	-0.614181
2.496875	-0.152105	-0.232702
2.500000	-0.152105	-0.232702
2.503125	0.229374	0.148777
2.506250	0.229374	0.148777
2.509375	0.610853	0.530255
2.512500	-0.915062	-0.995659
2.515625	-0.152105	-0.232702
2.518750	-0.533584	-0.614181
2.521875	-0.152105	-0.232702
2.525000	0.610853	0.530255
2.528125	-0.533584	-0.614181
2.531250	-0.533584	-0.614181
2.534375	-0.152105	-0.232702
2.537500	-0.533584	-0.614181
2.540625	-0.915062	-0.995659
2.543750	-0.915062	-0.995659
2.546875	-0.533584	-0.614181
2.550000	-0.152105	-0.232702
2.553125	-0.533584	-0.614181
2.556250	0.229374	0.148777
2.559375	-0.533584	-0.614181
2.562500	0.610853	0.530255
2.565625	-0.152105	-0.232702
2.568750	-0.533584	-0.614181
2.571875	-0.152105	-0.232702
2.575000	0.610853	0.530255
2.578125	-0.152105	-0.232702
2.581250	-0.533584	-0.614181
2.584375	0.229374	0.148777
2.587500	-0.915062	-0.995659
2.590625	-0.915062	-0.995659
2.593750	-1.296541	-1.377138
2.596875	-0.152105	-0.232702
2.600000	-0.533584	-0.614181
2.603125	0.229374	0.148777
2.606250	-0.152105	-0.232702
2.609375	0.610853	0.530255
2.612500	-0.152105	-0.232702
2.615625	-0.152105	-0.232702
2.618750	-0.533584	-0.614181
2.621875	0.229374	0.148777
2.625000	-0.152105	-0.232702
2.628125	-0.152105	-0.232702
2.631250	0.610853	0.530255
2.634375	-0.152105	-0.232702
2.637500	-0.152105	-0.232702
2.640625	-0.533584	-0.614181
2.643750	0.229374	0.148777
2.646875	0.229374	0.148777
2.650000	-0.533584	-0.614181
2.653125	-0.915062	-0.995659
2.656250	-0.152105	-0.232702
2.659375	-0.152105	-0.232702
2.662500	-0.533584	-0.614181
2.665625	-0.152105	-0.232702
2.668750	-0.152105	-0.232702
2.671875	0.229374	0.148777
2.675000	-0.152105	-0.232702
2.678125	-0.152105	-0.232702
2.681250	-0.152105	-0.232702
2.684375	0.229374	0.148777
2.687500	-0.152105	-0.232702
